temperature_celsius,wind_kph,wind_degree,pressure_mb,humidity,gust_kph
15.850000000000001,21.95,260.0,1011.5,56.5,30.45
13.3,11.2,300.0,1016.0,31.0,18.4
8.9,3.6,10.0,1016.0,63.0,9.1
7.8,29.9,320.0,1019.0,63.0,37.1
9.4,20.2,310.0,1021.0,59.0,27.4
11.1,24.1,310.0,1017.0,54.0,31.3
8.9,22.0,260.0,1008.0,51.0,23.5
10.0,29.9,310.0,1016.0,66.0,37.1
11.1,24.1,320.0,1011.0,61.0,31.3
10.0,3.6,10.0,1009.0,61.0,7.7
7.8,9.0,250.0,1018.0,68.0,16.2
10.6,13.0,250.0,1020.0,68.0,20.2
16.1,6.8,290.0,1014.0,60.0,14.0
7.2,6.8,130.0,1022.0,74.0,7.3
2.8,9.0,280.0,1026.0,75.0,9.5
9.2,4.0,30.0,1023.0,92.0,11.2
10.6,3.6,210.0,1015.0,94.0,5.9
11.0,3.6,140.0,1008.0,94.0,5.5
10.2,9.0,240.0,1000.0,84.0,29.2
10.3,6.1,150.0,1008.0,91.0,15.2
10.2,4.0,240.0,1022.0,82.0,4.2
9.8,7.2,307.0,1021.0,75.0,10.3
10.2,6.1,170.0,1020.0,87.0,13.3
12.5,3.6,10.0,1013.0,73.0,3.7
11.2,19.1,270.0,1016.0,95.0,26.3
11.0,13.0,280.0,1022.0,80.0,20.2
11.9,9.0,250.0,1014.0,80.0,11.7
10.3,16.9,270.0,1024.0,76.0,24.1
9.2,13.0,260.0,1020.0,84.0,20.2
9.4,5.8,122.0,1020.0,70.0,6.6
9.6,9.0,270.0,1016.0,93.0,16.2
5.3,8.6,198.0,1020.0,87.0,18.1
9.3,4.3,193.0,1017.0,76.0,5.5
10.7,3.6,10.0,1019.0,93.0,10.8
10.1,3.6,10.0,1017.0,90.0,6.7
11.7,3.6,10.0,1017.0,86.0,9.8
13.1,6.8,290.0,1015.0,91.0,14.4
12.4,13.0,280.0,1013.0,85.0,18.1
11.3,20.2,290.0,1015.0,97.0,27.4
11.5,6.8,260.0,1020.0,94.0,14.4
11.5,6.8,260.0,1020.0,94.0,14.4
11.9,20.2,280.0,1011.0,97.0,27.4
11.1,13.0,280.0,1016.0,100.0,20.2
11.4,6.1,310.0,1018.0,90.0,14.4
10.7,9.0,230.0,1017.0,99.0,17.4
13.2,6.8,260.0,1019.0,100.0,7.6
12.4,22.0,290.0,1021.0,96.0,29.2
11.6,11.2,290.0,1023.0,93.0,15.1
10.2,9.0,220.0,1025.0,99.0,9.1
10.7,3.6,279.0,1025.0,86.0,6.8
12.5,3.6,10.0,1023.0,89.0,10.6
11.6,6.1,200.0,1017.0,97.0,13.3
10.2,11.2,40.0,1015.0,97.0,18.4
12.7,3.6,10.0,1015.0,96.0,10.6
13.1,11.2,270.0,1013.0,97.0,13.6
10.4,25.9,270.0,1015.0,100.0,33.1
11.5,25.9,280.0,1020.0,98.0,33.1
11.5,6.8,240.0,1020.0,98.0,11.3
11.5,6.8,240.0,1020.0,98.0,11.3
12.8,9.0,300.0,1016.0,96.0,12.9
12.1,20.2,270.0,1020.0,97.0,27.4
10.9,3.6,10.0,1018.0,100.0,10.6
13.7,11.2,280.0,1014.0,97.0,12.9
14.5,11.2,270.0,1018.0,95.0,18.9
13.4,13.0,250.0,1021.0,98.0,15.9
11.2,15.1,290.0,1021.0,100.0,22.3
11.2,15.1,290.0,1021.0,100.0,22.3
11.2,15.1,290.0,1021.0,100.0,22.3
11.2,15.1,290.0,1021.0,100.0,22.3
8.0,7.9,191.0,1019.0,82.0,16.6
8.3,9.0,183.0,1021.0,89.0,18.9
7.2,9.4,249.0,1020.0,91.0,19.7
8.6,6.5,232.0,1012.0,90.0,13.6
